image;category
image0000.jpg;1
image0001.jpg;2
image0002.jpg;4
image0003.jpg;2
image0004.jpg;3
image0005.jpg;4
image0006.jpg;7
image0007.jpg;7
image0008.jpg;7
image0009.jpg;7
image0010.jpg;2
image0011.jpg;5
image0012.jpg;7
image0013.jpg;7
image0014.jpg;4
image0015.jpg;5
image0016.jpg;6
image0017.jpg;1
image0018.jpg;7
image0019.jpg;7
image0020.jpg;3
image0021.jpg;3
image0022.jpg;1
image0023.jpg;6
image0024.jpg;2
image0025.jpg;6
image0026.jpg;1
image0027.jpg;2
image0028.jpg;2
image0029.jpg;7
image0030.jpg;7
image0031.jpg;2
image0032.jpg;6
image0033.jpg;3
image0034.jpg;7
image0035.jpg;1
image0036.jpg;1
image0037.jpg;7
image0038.jpg;6
image0039.jpg;3
image0040.jpg;5
image0041.jpg;7
image0042.jpg;7
image0043.jpg;7
image0044.jpg;2
image0045.jpg;6
image0046.jpg;6
image0047.jpg;7
image0048.jpg;3
image0049.jpg;7
image0050.jpg;2
image0051.jpg;7
image0052.jpg;1
image0053.jpg;7
image0054.jpg;3
image0055.jpg;3
image0056.jpg;1
image0057.jpg;6
image0058.jpg;7
image0059.jpg;7
image0060.jpg;7
image0061.jpg;7
image0062.jpg;7
image0063.jpg;3
image0064.jpg;7
image0065.jpg;6
image0066.jpg;6
image0067.jpg;3
image0068.jpg;2
image0069.jpg;3
image0070.jpg;1
image0071.jpg;5
image0072.jpg;7
image0073.jpg;7
image0074.jpg;7
image0075.jpg;3
image0076.jpg;7
image0077.jpg;3
image0078.jpg;1
image0079.jpg;2
image0080.jpg;3
image0081.jpg;1
image0082.jpg;3
image0083.jpg;5
image0084.jpg;7
image0085.jpg;3
image0086.jpg;6
image0087.jpg;7
image0088.jpg;6
image0089.jpg;4
image0090.jpg;2
image0091.jpg;7
image0092.jpg;3
image0093.jpg;6
image0094.jpg;7
image0095.jpg;3
image0096.jpg;7
image0097.jpg;5
image0098.jpg;3
image0099.jpg;7
image0100.jpg;7
image0101.jpg;7
image0102.jpg;6
image0103.jpg;4
image0104.jpg;6
image0105.jpg;7
image0106.jpg;3
image0107.jpg;2
image0108.jpg;2
image0109.jpg;1
image0110.jpg;7
image0111.jpg;6
image0112.jpg;7
image0113.jpg;7
image0114.jpg;2
image0115.jpg;1
image0116.jpg;6
image0117.jpg;6
image0118.jpg;2
image0119.jpg;7
image0120.jpg;7
image0121.jpg;7
image0122.jpg;3
image0123.jpg;6
image0124.jpg;5
image0125.jpg;6
image0126.jpg;2
